Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
SBAC, SBA Communications Corporation, 117.67, -0.815,-0.69, 572953, -.1,
STX, Seagate Technology., 55.58, 0.89,1.63, 3722917, .3,
SIAL, Sigma-Aldrich Corporation, 138.45, -0.09,-0.06, 841966, .0,
SIRI, Sirius XM Holdings Inc., 3.945, 0.015,0.38, 23620995, .1,
SPLS, Staples Inc., 16.72, 0.32,1.95, 9456195, .2,
SBUX, Starbucks Corporation, 48.17, 0.21,0.44, 6641811, .1,
SRCL, Stericycle Inc., 141.93, 0.39,0.28, 358925, .0,
SYMC, Symantec Corporation, 25.58, 1.355,5.59, 12750042, .8,
TSLA, Tesla Motors Inc., 210.9, 0.81,0.39, 4067104, .1,
TXN, Texas Instruments Incorporated, 57.7, -0.08,-0.14, 3407495, -.1,
PCLN, The Priceline Group Inc., 1189.5, 3.5,0.3, 361517, .2,
TSCO, Tractor Supply Company, 87.28, 1.28,1.49, 689343, .2,
TRIP, TripAdvisor Inc., 82.93, -0.25,-0.3, 1084252, .0,
FOX, Twenty-First Century Fox Inc., 33.37, -0.07,-0.21, 1867425, .0,
FOXA, Twenty-First Century Fox Inc., 34.34, -0.02,-0.06, 9157414, .0,
VRSK, Verisk Analytics Inc., 72.86, -0.01,-0.01, 654635, .0,
VRTX, Vertex Pharmaceuticals Incorporated, 128.47, 2.83,2.25, 1119212, .6,
VIAB, Viacom Inc., 69.265, -0.055,-0.08, 2028367, .0,
VIP, VimpelCom Ltd., 5.7, -0.14,-2.4, 1355258, -.2,
VOD, Vodafone Group Plc, 33.53, 0.31,0.93, 3093086, .1,
WBA, Walgreens Boots Alliance Inc., 92.02, -0.6,-0.65, 5975413, .0,
WDC, Western Digital Corporation, 95.89, 1.87,1.99, 2114803, .4,
WFM, Whole Foods Market Inc., 51.53, -0.145,-0.28, 1343846, -.1,
WYNN, Wynn Resorts Limited, 136.02, -0.61,-0.45, 1773958, -.1,
XLNX, Xilinx Inc., 43.83, 0.505,1.17, 3545107, .1,
YHOO, Yahoo! Inc., 45.18, -0.45,-0.99, 8431549, -.4,
