AAPL,2015,3,19
NKE,2013,9,23
GS,2013,9,23
MRK,1979,6,29
PG,1970,1,2,1932,5,26
TRV,1986,7,9,1977,5,17 
PFE,2004,4,8
BA,1987,5,12
WMT,1997,5,19
JNJ,1997,5,19
GE,1962,1,15,1907,11,7
MMM,1976,8,9
XOM,1976,8,9
AXP,1982,8,30
HD,1999,11,1
