x()	y()	
0.809	0.966	
0.935	1.092	
1.114	1.332	
1.240	1.415	
1.414	1.540	
1.548	1.635	
1.725	1.737	
1.809	1.759	
1.941	1.797	
2.112	1.844	
2.247	1.888	
2.418	1.937	
2.546	1.983	
2.723	2.074	
2.849	2.123	
2.994	2.191	
3.120	2.252	
3.294	2.311	
3.415	2.335	
3.597	2.375	
3.725	2.396	
3.898	2.418	
4.016	2.355	
