x()	y()	
0.803	-156.7	
0.926	-152.4	
1.107	-144.7	
1.229	-139.3	
1.407	-128.1	
1.528	-121.2	
1.715	-107.0	
1.806	-98.7	
1.929	-87.4	
2.108	-68.8	
2.238	-58.0	
2.409	-40.4	
2.533	-33.8	
2.709	-18.9	
2.836	-10.0	
2.982	0.2	
3.107	7.9	
3.285	15.9	
3.410	21.0	
3.588	28.9	
3.709	34.6	
3.888	41.7	
4.015	50.4	
