x()	y()	
0.806	-137.9	
0.930	-138.2	
1.107	-137.3	
1.230	-137.3	
1.416	-132.1	
1.542	-130.1	
1.719	-128.1	
1.807	-128.1	
1.934	-126.8	
2.114	-125.9	
2.240	-129.2	
2.426	-132.1	
2.540	-135.0	
2.723	-140.0	
2.840	-145.2	
2.986	-149.9	
3.116	-155.0	
3.291	-160.6	
3.419	-160.6	
3.591	-159.6	
3.717	-157.2	
3.895	-151.8	
4.022	-144.7	
