x()	y()	
0.816	1.025	
0.948	1.025	
1.123	1.080	
1.247	1.080	
1.426	1.046	
1.551	1.025	
1.726	1.021	
1.815	0.973	
1.941	0.914	
2.121	0.827	
2.249	0.785	
2.424	0.748	
2.546	0.736	
2.7297	0.690	
2.8491	0.716	
2.9935	0.728	
3.1196	0.784	
3.2948	0.952	
3.4199	1.019	
3.5951	1.172	
3.7231	1.251	
3.8973	1.384	
4.0234	1.400	
