x()	y()	
0.814	-0.331	
0.9407	-0.324	
1.1121	-0.160	
1.2401	-0.105	
1.4191	0.000	
1.5404	0.053	
1.7195	0.037	
1.8119	0.033	
1.9389	0.030	
2.1160	0.072	
2.2373	0.115	
2.4173	0.283	
2.5415	0.381	
2.7148	0.600	
2.8438	0.706	
2.9843	0.866	
3.1181	0.965	
3.2885	1.074	
3.4194	1.139	
3.592	1.227	
3.716	1.271	
3.897	1.273	
4.017	1.237	
