x()	y()	
0.812	20.0	
0.935	18.6	
1.110	17.3	
1.229	17.7	
1.408	17.4	
1.536	17.4	
1.713	22.1	
1.805	22.3	
1.928	24.4	
2.110	27.1	
2.233	27.7	
2.412	27.4	
2.540	27.3	
2.709	27.3	
2.841	26.0	
2.984	27.7	
3.109	30.4	
3.292	33.3	
3.412	34.1	
3.591	36.9	
3.719	41.6	
3.894	48.3	
4.016	51.3	
